epoch,step,val_loss
0,0,0.763211190700531
0,1,0.7820081114768982
1,2,0.7358126044273376
1,3,0.6884444355964661
2,4,0.6940825581550598
2,5,0.7024418115615845
3,6,0.6960541605949402
3,7,0.6879018545150757
4,8,0.6941914558410645
4,9,0.7094283103942871
5,10,0.724373459815979
5,11,0.7253211140632629
6,12,0.714701235294342
6,13,0.7021775841712952
7,14,0.6917756795883179
7,15,0.6852367520332336
8,16,0.682674765586853
8,17,0.6818000078201294
9,18,0.6803458333015442
9,19,0.6786735653877258
10,20,0.677409827709198
10,21,0.6776671409606934
11,22,0.6790551543235779
11,23,0.6814559698104858
12,24,0.6832829117774963
12,25,0.6838687062263489
13,26,0.6830864548683167
13,27,0.6797541975975037
14,28,0.674866795539856
14,29,0.6712909936904907
15,30,0.6678099632263184
15,31,0.6666128039360046
16,32,0.6651347279548645
16,33,0.6644169688224792
17,34,0.663770854473114
17,35,0.664242148399353
18,36,0.6670946478843689
18,37,0.6678174734115601
19,38,0.6640112400054932
19,39,0.6617357134819031
