epoch,step,val_loss
0,0,0.7906774878501892
0,1,0.7192423343658447
1,2,0.685096263885498
1,3,0.6981533169746399
2,4,0.6940775513648987
2,5,0.6893044114112854
3,6,0.7104899883270264
3,7,0.7246867418289185
4,8,0.7331421375274658
4,9,0.7150079607963562
5,10,0.6956523060798645
5,11,0.6860666871070862
6,12,0.684647798538208
6,13,0.6842055320739746
7,14,0.6815188527107239
7,15,0.6777784824371338
8,16,0.6763780117034912
8,17,0.6780357360839844
9,18,0.6811621189117432
9,19,0.6838628649711609
10,20,0.6837964653968811
10,21,0.6805019974708557
11,22,0.6759291887283325
11,23,0.6705188155174255
12,24,0.6668226718902588
12,25,0.6649500131607056
13,26,0.6645860075950623
13,27,0.6636355519294739
14,28,0.6618019342422485
14,29,0.6609185934066772
15,30,0.661594569683075
15,31,0.6637760996818542
16,32,0.6644980907440186
16,33,0.6627755165100098
17,34,0.6599451303482056
17,35,0.6559277176856995
18,36,0.6541596055030823
18,37,0.6528369188308716
19,38,0.6513658165931702
19,39,0.6509058475494385
