epoch,step,val_loss
0,0,0.7279196381568909
0,1,0.705730140209198
1,2,0.6882467865943909
1,3,0.6908023357391357
2,4,0.6923505663871765
2,5,0.6939889788627625
3,6,0.6988462805747986
3,7,0.706786572933197
4,8,0.7096066474914551
4,9,0.7033051252365112
5,10,0.6953770518302917
5,11,0.6879360675811768
6,12,0.6841387748718262
6,13,0.6819688677787781
7,14,0.6804869771003723
7,15,0.6810270547866821
8,16,0.6832827925682068
8,17,0.6861172318458557
9,18,0.6822641491889954
9,19,0.6789921522140503
10,20,0.672757089138031
10,21,0.6700772047042847
11,22,0.6711126565933228
11,23,0.6691120862960815
12,24,0.6696723699569702
12,25,0.6681898236274719
13,26,0.6653929948806763
13,27,0.6649640798568726
14,28,0.6654527187347412
14,29,0.6658012270927429
15,30,0.664228081703186
15,31,0.6639750003814697
16,32,0.6638412475585938
16,33,0.6627940535545349
17,34,0.6614124774932861
17,35,0.660126805305481
18,36,0.6597747206687927
18,37,0.6604138016700745
19,38,0.6617233753204346
19,39,0.6643496155738831
